Ticker,HTML Count,CIK
CTAS,42,0000723254
ABMD,32,0000815094
WELL,42,0000766704
BF-B,42,0000014693
VZ,42,0000732712
ADT,30,0001703056
AMZN,42,0001018724
CNP,42,0001130310
AET,0,No CIK Found
RCL,42,0000884887
BRK-B,42,0001067983
CAT,42,0000018230
AGN,0,No CIK Found
TFC,42,0000092230
AAPL,42,0000320193
AIRC,14,0001820877
PANW,42,0001327567
PM,42,0001413329
ALTR,30,0001701732
KHC,39,0001637459
TEL,42,0001385157
ALXN,0,No CIK Found
CMCSA,42,0001166691
GRMN,42,0001121788
ANDV,0,No CIK Found
ANET,42,0001596532
BRO,42,0000079282
APC,0,No CIK Found
CAH,42,0000721371
SW,5,0002005951
ARG,0,No CIK Found
SOLV,5,0001964738
TROW,42,0001113169
ATVI,35,0000718877
PODD,42,0001145197
FSLR,42,0001274494
AVP,0,No CIK Found
PFE,42,0000078003
REG,42,0000910606
BBBY,34,0000886158
APTV,42,0001521332
CDW,42,0001402057
BCR,0,No CIK Found
MAR,42,0001048286
VRSN,42,0001014473
BIVV,0,No CIK Found
FITB,42,0000035527
KMI,42,0001506307
BMS,0,No CIK Found
UBER,25,0001543151
SPGI,42,0000064040
BPYU,0,No CIK Found
ALLE,42,0001579241
SYK,42,0000310764
BRCM,0,No CIK Found
MMC,42,0000062709
MPWR,42,0001280452
BXLT,0,No CIK Found
DXCM,42,0001093557
PEP,42,0000077476
CA,0,No CIK Found
FRT,42,0000034903
SNPS,42,0000883241
CAM,0,No CIK Found
PLD,42,0001045609
GOOG,39,0001652044
CCE,0,No CIK Found
MMM,42,0000066740
EMN,42,0000915389
CELG,0,No CIK Found
NXPI,23,0001413447
PCG,42,0001004980
CERN,0,No CIK Found
AMT,42,0001053507
CFN,0,No CIK Found
ADI,42,0000006281
MAA,42,0000912595
CHK,42,0000895126
WSM,42,0000719955
HWM,42,0000004281
CMCSK,0,No CIK Found
MAS,42,0000062996
FTV,36,0001659166
COL,0,No CIK Found
CAG,41,0000023217
MGM,42,0000789570
COV,0,No CIK Found
CNC,42,0001071739
VLO,42,0001035002
CPGX,0,No CIK Found
UPS,42,0001090727
PLTR,19,0001321655
CSRA,0,No CIK Found
CME,42,0001156375
NWS,42,0001564708
CTLT,40,0001596783
EMR,42,0000032604
OKE,42,0001039684
CTXS,31,0000877890
SYY,42,0000096021
GILD,42,0000882095
CVC,0,No CIK Found
SNA,42,0000091440
MS,42,0000895421
CVET,15,0001752836
PTC,42,0000857005
AXON,42,0001069183
CXO,0,No CIK Found
WMT,42,0000104169
HUBB,42,0000048898
DISCA,0,No CIK Found
DISCK,0,No CIK Found
ULTA,42,0001403568
DG,42,0000029534
DISH,42,0001001082
CVX,42,0000093410
NCLH,42,0001513761
DNB,20,0001799208
UHS,42,0000352915
GPN,42,0001123360
DNR,0,No CIK Found
DLR,42,0001297996
MO,42,0000764180
DO,39,0000949039
CPT,42,0000906345
TXN,42,0000097476
DPS,0,No CIK Found
KLAC,42,0000319201
INTC,42,0000050863
DRE,31,0000783280
BK,42,0001390777
NI,42,0001111711
DTV,0,No CIK Found
LII,42,0001069202
TTWO,42,0000946581
DVMT,0,No CIK Found
HCA,42,0000860730
GS,42,0000886982
EMC,0,No CIK Found
TMUS,42,0001283699
BLK,3,0002012383
ENDP,0,No CIK Found
CDNS,42,0000813672
LOW,42,0000060667
ESRX,0,No CIK Found
LIN,29,0001707925
MA,42,0001141391
ETFC,0,No CIK Found
HII,42,0001501585
CZR,42,0001590895
EVHC,0,No CIK Found
PRU,42,0001137774
BX,42,0001393818
